author_sort,authors,series,series_index,title
"Card, Orson Scott","Orson Scott Card","First Meetings","1.0","First Meetings: In Ender's Universe"
"Card, Orson Scott","Orson Scott Card","Tales of Alvin Maker","5.0","Heartfire"
"Card, Orson Scott","Orson Scott Card","Tales of Alvin Maker","3.0","Prentice Alvin"
"Burnett, Frances Hodgson","Frances Hodgson Burnett","","1.0","The Secret Garden"
"Christie, Agatha","Agatha Christie","","1.0","Destination unknown"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","37.0","Elephants can remember"
"Burroughs, Edgar Rice","Edgar Rice Burroughs","","1.0","Tarzan of the apes"
"Card, Orson Scott","Orson Scott Card","Tales of Alvin Maker","2.0","Red prophet"
"Christie, Agatha","Agatha Christie","","1.0","Endless Night"
"Butcher, Jim","Jim Butcher","Codex Alera","2.0","Academ's Fury"
"Butcher, Jim","Jim Butcher","The Dresden Files","6.0","Blood Rites"
"Card, Orson Scott","Orson Scott Card","Tales of Alvin Maker","1.0","Seventh Son"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Publication Order","8.0","Shadow of the Giant"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Publication Order","6.0","Shadow of the Hegemon"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","22.0","Evil Under the Sun"
"Butcher, Jim","Jim Butcher","Codex Alera","4.0","Captain's Fury"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Publication Order","7.0","Shadow puppets"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","23.0","Five Little Pigs"
"Butcher, Jim","Jim Butcher","The Dresden Files","12.0","Changes"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","36.0","Hallowe'en party"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","1.0","Hercule Poirot's Casebook"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","19.0","Hercule Poirot's Christmas"
"Card, Orson Scott","Orson Scott Card","Tales of Alvin Maker","6.0","The crystal city"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Publication Order","3.0","Xenocide"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","38.0","Hercule Poirot's early cases"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","29.0","Hickory Dickory Death"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","8.0","Lord Edgware dies"
"Christie, Agatha","Agatha Christie","Miss Marple","15.0","Miss Marple's final cases"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","27.0","Mrs. McGinty's Dead"
"Christie, Agatha","Agatha Christie","Miss Marple","1.0","Murder at the vicarage"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","14.0","Murder in Mesopotamia"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","17.0","Murder in the mews"
"Christie, Agatha","Agatha Christie","Superintendent Battle","4.0","Murder Is Easy"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","2.0","Murder on the links"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","9.0","Murder on the Orient Express: A Hercule Poirot Mystery"
"Christie, Agatha","Agatha Christie","Tommy and Tuppence","3.0","N Or M?"
"Christie, Agatha","Agatha Christie","Miss Marple","12.0","Nemesis"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","20.0","One, two, buckle my shoe"
"Christie, Agatha","Agatha Christie","","1.0","Ordeal by innocence"
"Christie, Agatha","Agatha Christie","Ariadne Oliver","1.0","Parker Pyne Investigates"
"Christie, Agatha","Agatha Christie","Tommy and Tuppence","2.0","Partners in crime"
"Christie, Agatha","Agatha Christie","","1.0","Passenger to Frankfurt"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","7.0","Peril at End House"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","3.0","Poirot investigates"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","16.0","Poirot Loses a Client"
"Christie, Agatha","Agatha Christie","Harley Quin","3.0","Problem at Pollensa Bay and other stories"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","21.0","Sad cypress"
"Christie, Agatha","Agatha Christie","Miss Marple","13.0","Sleeping Murder"
"Christie, Agatha","Agatha Christie","Colonel Race","4.0","Sparkling cyanide"
"Christie, Agatha","Agatha Christie","","1.0","Spider's Web"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","26.0","Taken at the Flood"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","12.0","The A.b.c. Murders: A Hercule Poirot Mystery"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","5.0","The Big Four"
"Carlin, George","George Carlin","","1.0","When Will Jesus Bring the Pork Chops?"
"Cather, Willa","Willa Cather","","1.0","My Antonia"
"Chabon, Michael","Michael Chabon","","1.0","The amazing adventures of Kavalier and Clay: a novel"
"Child, Lee","Lee Child","Jack Reacher","14.0","61 Hours"
"Christie, Agatha","Agatha Christie","Miss Marple","8.0","4:50 from Paddington"
"Christie, Agatha","Agatha Christie","Miss Marple","10.0","A Caribbean Mystery"
"Christie, Agatha","Agatha Christie","Miss Marple","5.0","A murder is announced"
"Christie, Agatha","Agatha Christie","Miss Marple","7.0","A pocketful of rye"
"Christie, Agatha","Agatha Christie","","1.0","Adventure of the Christmas Pudding and other stories"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","28.0","After the funeral"
"Christie, Agatha","Agatha Christie","","1.0","And then there were none"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","18.0","Appointment with death: a Hercule Poirot mystery"
"Twain, Mark","Mark Twain","Tom Sawyer","2.0","Adventures of Huckleberry Finn"
"Twain, Mark","Mark Twain","Tom Sawyer","1.0","The Adventures of Tom Sawyer"
"Tzu, Sun","Sun Tzu","","1.0","The Art of War"
"Updike, John","John Updike","Harry ""Rabbit"" Angstrom novels","0.0","Licks of Love: Short Stories and a Sequel, Rabbit Remembered"
"Updike, John","John Updike","Harry ""Rabbit"" Angstrom novels","4.0","Rabbit at rest"
"Updike, John","John Updike","Harry ""Rabbit"" Angstrom novels","3.0","Rabbit is rich"
"Updike, John","John Updike","Harry ""Rabbit"" Angstrom novels","2.0","Rabbit Redux"
"Updike, John","John Updike","Harry ""Rabbit"" Angstrom novels","1.0","Rabbit, Run"
"Updike, John","John Updike","","1.0","Terrorist"
"Updike, John","John Updike","","1.0","The coup"
"Updike, John","John Updike","The Eastwick Novels","1.0","The Witches of Eastwick"
"Uris, Leon","Leon Uris","","1.0","A God in Ruins"
"Vinci, Leonardo da & Richter, Irma Anne & Wells, Thereza","Leonardo da Vinci, Irma Anne Richter, Thereza Wells","","1.0","Notebooks"
"Vonnegut, Kurt","Kurt Vonnegut","","1.0","Slaughterhouse-five: or, The children's crusade, a duty-dance with death"
"Walls, Jeannette","Jeannette Walls","","1.0","The glass castle: a memoir"
"Stein, Garth","Garth Stein","","1.0","The Art of Racing in the Rain"
"Steinbeck, John","John Steinbeck","","1.0","East of Eden"
"Steinbeck, John","John Steinbeck","","1.0","Of mice and men"
"Steinbeck, John","John Steinbeck","","1.0","Once there was a war"
"Steinbeck, John","John Steinbeck","","1.0","The moon is down"
"Steinbeck, John","John Steinbeck","","1.0","Tortilla Flat"
"Steinbeck, John & Demott, Robert","John Steinbeck, Robert Demott","","1.0","To a God unknown"
"Steinbeck, John & Wagner-Martin, Linda & Orozco, José Clemente","John Steinbeck, Linda Wagner-Martin, José Clemente Orozco","","1.0","The Pearl"
"Steinbeck, John & Wollenberg, Charles","John Steinbeck, Charles Wollenberg","","1.0","The Harvest Gypsies: On the Road to the Grapes of Wrath"
"Stephenson, Neal","Neal Stephenson","","1.0","Anathem"
"Stephenson, Neal","Neal Stephenson","","1.0","Cryptonomicon"
"Stephenson, Neal","Neal Stephenson","Baroque Cycle","1.0","Quicksilver"
"Stephenson, Neal","Neal Stephenson","","1.0","Snow Crash"
"Stephenson, Neal","Neal Stephenson","Baroque Cycle","2.0","The confusion"
"Stephenson, Neal","Neal Stephenson","","1.0","The Diamond Age"
"Stephenson, Neal","Neal Stephenson","Baroque Cycle","3.0","The system of the world"
"Stephenson, Neal","Neal Stephenson","","1.0","Zodiac: The Eco-Thriller"
"Stevenson, Robert Louis","Robert Louis Stevenson","","1.0","Treasure Island"
"Stockett, Kathryn","Kathryn Stockett","","1.0","The help"
"Warren, Rick","Rick Warren","","1.0","The Purpose Driven Life: What on Earth Am I Here For?"
